cln3_1,cln3_2,clb2_2,clb2_1,alpha0,alpha7,alpha14,alpha21,alpha28,alpha35,alpha42,alpha49,alpha56,alpha63,alpha70,alpha77,alpha84,alpha91,alpha98,alpha105,alpha112,alpha119,cdc15_10,cdc15_30,cdc15_50,cdc15_70,cdc15_80,cdc15_90,cdc15_100,cdc15_110,cdc15_120,cdc15_130,cdc15_140,cdc15_150,cdc15_160,cdc15_170,cdc15_180,cdc15_190,cdc15_200,cdc15_210,cdc15_220,cdc15_230,cdc15_240,cdc15_250,cdc15_270,cdc15_290,cdc28_0,cdc28_10,cdc28_20,cdc28_30,cdc28_40,cdc28_50,cdc28_60,cdc28_70,cdc28_80,cdc28_90,cdc28_100,cdc28_110,cdc28_120,cdc28_130,cdc28_140,cdc28_150,cdc28_160,elu0,elu30,elu60,elu90,elu120,elu150,elu180,elu210,elu240,elu270,elu300,elu330,elu360,elu390,classification
0.266161,0.0,-0.050993,0.185995,-0.338354,-0.199506,-0.630446,0.552168,-1.637789,-1.633314,-0.812849,1.022881,-0.625782,0.0,0.457193,1.742252,-1.415446,0.704776,-0.54512,3.059601,-0.77302,1.781202,-0.160871,0.17666,-0.434221,0.070846,-0.103891,-0.122481,-0.770617,-1.158575,-0.080844,0.244655,0.374607,-0.499741,0.95903,1.494047,0.619067,-0.557474,-0.206552,-1.144085,0.53689,0.031725,0.864485,0.059099,0.132684,-0.521428,-0.277489,-1.538313,-0.206165,-0.409298,0.370233,-0.854643,-1.510644,-0.100094,-0.017682,-0.106612,0.540403,1.342436,2.749115,2.184369,-0.956667,-0.098,0.044988,0.526654,-0.010476,0.991988,0.561638,-0.760312,0.361688,-0.404753,1.184101,0.023688,-0.528027,-1.243807,-0.062024,-1.221401,-0.004118,11.02.01@11.02.02@11.02.03.01
-2.159763,-0.084003,0.223524,0.539334,-0.313995,-1.436936,0.237023,-0.962704,-1.564638,-2.156137,0.110401,0.898576,0.135637,2.152983,-0.595995,1.218891,-0.17951,0.942362,0.153013,2.170334,-0.277455,1.391238,-0.582109,-0.422852,-0.283675,0.095704,1.233684,-0.428161,0.083043,-0.624529,0.858871,-0.649302,0.65414,-0.970407,0.24058,-0.09732,0.925081,0.0,0.555996,-0.058699,0.044316,1.124708,0.677331,-0.897791,-1.077649,-0.832778,-0.583457,-0.361683,0.558391,-0.642415,1.094607,-2.098688,1.328185,0.219549,-1.46054,1.896593,-5.793519,1.021193,-0.770064,1.510736,2.852811,1.073899,2.068422,-2.190442,-0.514091,-0.0,1.217219,0.449414,0.875415,0.555291,1.309492,0.718385,0.649099,-1.045817,-0.538594,1.112388,-0.089338,12.04.02
-1.061899,1.956587,1.001322,1.466849,-0.094762,-1.039191,-1.358001,-0.158894,0.300695,-0.251569,0.607535,1.934453,0.255862,1.853336,-1.517535,1.178632,-1.653127,-0.103018,-1.204468,2.69581,-0.887381,0.962277,-0.702462,-2.569492,-3.230068,-3.806991,-0.878276,-3.720097,-1.790267,-4.069126,-0.101273,-3.094537,-0.715572,-3.572908,-0.323916,-2.569623,1.012513,0.0,2.917436,2.626203,3.727916,4.589258,4.545167,2.970487,3.351653,2.467529,2.854187,3.489105,2.754038,0.108739,1.405053,-2.098688,-0.369259,-1.538484,-2.809298,-0.301098,-1.980867,-1.636369,-2.217203,0.0,-1.057803,-1.243857,0.785964,-0.049252,0.26931,-0.0,0.780165,-1.365174,-2.478922,-0.902554,-1.031146,0.963572,0.611127,-1.679383,0.516668,1.852369,2.595093,01.04@14.01@14.04@16.01@16.19.03@20.09.01@20.09.05@32.01.07
0.443236,-0.912992,-0.050993,-1.16111,-0.046044,-0.464669,0.432903,-0.344389,-1.089161,0.233909,0.536516,0.484225,-0.104811,-0.99331,-0.925117,1.500701,-0.749942,0.752293,-1.088113,1.806543,0.904276,-0.129624,-0.0,-0.03607,0.060429,0.170278,0.318501,0.55942,0.438735,0.52367,-0.101273,-0.070859,-0.380133,-0.361311,-0.169962,-4.104155,0.22562,0.315756,0.728185,0.226928,0.70822,-0.46321,0.28223,0.059099,0.08118,0.080515,0.766403,-1.752246,-0.127749,-1.756194,0.551326,-1.900772,0.918457,0.752286,0.327349,-0.048267,0.355919,1.37164,1.03886,0.057107,0.0,-1.087603,1.042456,0.807224,0.968775,0.433387,0.998692,0.276596,0.391907,1.053092,-0.780364,-1.93781,-2.654448,-0.25386,-1.389612,-0.396037,0.464592,10.03.02@42.10@43.01.03.09
-0.211941,-0.51444,0.177771,-0.366097,0.027033,0.109852,0.292989,-0.684462,-0.577109,0.943454,0.785083,-1.090308,1.297804,-0.206737,-0.727644,-0.592745,-1.510519,-0.007984,0.308153,0.310958,0.866156,0.104355,-0.0,0.157321,0.297001,-1.221767,0.57663,0.065629,1.197545,0.470265,0.777157,-0.307495,-1.162826,0.053982,-3.300348,-1.290845,0.793932,-0.636858,0.35921,0.34118,1.029465,1.310309,0.199051,-0.266651,-1.412422,0.308838,0.532427,0.750767,0.264331,-1.212255,0.033916,-0.967738,0.684327,0.645738,-0.331347,0.729677,-0.402511,-0.32219,0.085064,-0.935615,0.0,-0.358422,-0.069009,-0.359356,-0.653983,0.464421,0.280675,0.535823,-1.179494,-0.618096,0.139173,1.086166,-0.300196,-0.61024,0.925157,0.941623,-0.131948,10.01.05.01@32.01
-0.389016,-1.024587,-0.119622,1.996858,-0.849896,-0.796124,0.768698,-0.40622,-0.79656,-1.93207,-0.138167,0.19418,1.25773,0.91694,0.292632,0.937081,-0.036902,-0.388122,-0.894187,-0.457045,0.866156,2.483138,0.420838,-0.46153,-1.208455,-1.42063,-0.221222,-0.639785,1.055268,0.8708,2.452301,0.454998,1.07344,-1.16421,0.137945,-1.546601,-0.998435,-1.37778,1.343143,-0.144388,2.078862,0.134837,0.864485,-0.470244,-0.845883,-1.123371,-1.069407,-1.302987,-0.343393,-2.041115,-2.139206,-2.353152,1.767179,1.791123,1.707474,1.118649,0.560901,-0.117762,-0.901622,0.234379,0.0,1.672869,2.096922,-1.629303,-1.661213,-1.956179,-0.749523,-2.229264,-0.303136,-1.471469,-0.40419,1.903456,2.016083,5.92341,2.252745,1.596222,1.061132,20.01.17
-0.318186,-1.295603,-0.57715,0.428915,0.173188,0.19824,-0.490532,-1.240946,0.11782,-2.081448,-0.138167,0.567095,-0.465483,1.478778,-1.056765,1.540959,-0.036902,0.704776,-0.855402,2.412861,-0.887381,0.845287,-0.261166,-0.442191,-0.283675,-0.351739,1.63261,-0.85141,0.65215,-0.410911,1.3083,-0.544131,1.24116,-1.247269,1.549184,-2.342284,0.684641,0.0,0.260816,-0.944146,0.922383,0.918485,-0.237641,-0.531322,-0.820131,-0.791265,-0.493466,-0.960695,-0.029729,-0.0,0.344362,-0.685,1.708647,0.113001,-0.049049,0.671331,-0.074541,-0.205374,0.973081,0.0,0.358109,-0.618844,-0.524994,-0.861428,-1.101641,-0.0,0.561638,-0.328267,-0.484451,0.555291,-0.571378,1.372217,2.851463,-0.412251,0.652831,-1.53447,1.487233,01.04@11.04.01@16.19.03@20.01.01.01@20.01.10@20.01.13@20.03.22@20.09.07.06
0.106794,0.250782,0.132018,0.340581,-0.825537,-1.878876,-1.721779,-0.962704,-0.906285,0.644698,-0.812849,0.857141,0.295936,-0.468928,1.707854,2.144838,-1.320374,0.847327,1.898345,2.736231,-0.81114,1.430234,-0.0,-0.0,-0.0,-0.500887,0.3889,-0.686813,0.39131,-1.265384,0.28687,-0.649302,0.598234,3.182522,-0.349574,-0.807752,-0.736137,0.0,-0.23115,-0.57283,0.772469,3.929344,-0.986254,-3.259476,0.0,0.0,-1.51936,0.322901,1.166114,-0.538807,0.033916,-0.345715,1.357451,0.272822,-0.519546,0.96306,-0.259024,-0.292986,-0.112274,0.0,0.695231,-1.035519,-0.154506,-0.669459,0.101439,-0.218313,1.123564,1.169489,1.117169,0.910863,0.139173,-0.466687,-0.034394,-0.174664,-0.674757,-0.623723,-1.452858,12.04.01
-2.088933,-1.19995,-0.531397,0.27433,0.903963,0.087755,0.488869,-1.364609,0.11782,0.868765,-0.74183,-0.303041,0.456235,0.504925,0.160984,-0.592745,-1.082694,-1.195916,0.773575,0.108852,0.370591,-0.480592,1.644433,0.660138,-0.455727,-0.351739,-2.872905,-0.216537,-0.604628,0.550372,-0.85713,0.84939,0.514374,1.050685,-1.068024,-0.551996,-0.692421,0.104064,-0.477133,0.426868,-0.234096,0.671017,-1.173407,1.117786,0.827981,0.91078,1.558321,0.322901,-0.480621,-1.186353,0.189139,-1.731129,0.069735,0.086364,-0.29998,1.157546,0.663391,0.291093,-1.000291,0.0,-0.922955,-1.035519,0.728966,-0.211687,0.045481,-1.459646,0.998692,0.305399,-0.998178,-1.933712,0.055579,0.759249,0.497212,-0.174664,0.720913,1.5393,-0.004118,01.07.04@01.20.19.01@14.07@14.10
-0.743165,-0.195597,-0.508521,0.716003,-0.606305,-0.9729,-0.210703,-0.40622,0.666447,-0.288914,0.856102,-0.012996,0.095563,0.017999,-0.530171,0.373461,0.05817,0.467189,0.385723,0.3918,0.675554,0.533316,0.039718,-0.287478,-0.004091,0.269709,-0.150823,1.123752,-1.695416,0.790693,-0.060416,0.717926,-0.324226,0.247786,0.137945,-0.012068,-0.495698,0.368679,0.285415,0.883873,-0.0,-0.628189,-0.923869,0.34413,-0.07333,0.246568,0.064476,-0.254717,0.538787,-0.4352,0.706549,-1.900772,-0.018064,0.645738,-0.613645,1.293687,-0.300021,0.086666,-0.178053,-0.90016,0.0,-0.045916,0.358478,-0.80236,-0.430155,-1.242413,-0.218815,-0.616297,0.210592,-0.262524,0.598941,1.739998,1.066789,0.260913,0.346465,0.827779,0.294152,20.09.07.03
