chip_affymetrix_chip,pp_number_of_probe_pairs,a_fy4_a,alpha_fy5_alpha,gal_gal,heat_heat,rel_alpha_fy5_alpha,rel_gal_gal,rel_heat_heat,avg_abund,median_deviation_of_log_fc_gal,sig_gal,sig_and_fc_gal,median_deviation_of_log_fc_fy5_alpha,sig_fy5_alpha,sig_and_fc_fy5_alpha,median_deviation_of_log_fc_heat,sig_heat,sig_and_fc_heat,thrshld_1=below_detection_fy4_a,thrshld_1=below_detection_fy5_alpha,thrshld_1=below_detection_gal,thrshld_1=below_detection_heat,thrshld_gal,thrshld_fy5_alpha,thrshld_heat,below_threshold_in_all_conditions,classification,id
B,21.0,0.1,3.67,0.1,0.1,1.22,0.0,0.0,0.97,0.02,0.0,0.0,0.37,3.3,1.0,0.18,0.0,0.0,1.0,?,1.0,1.0,5.0,2.0,5.0,0.0,30.05@34.11.03.07,0
A,20.0,0.1,0.51,0.1,0.1,0.67,0.0,0.0,0.19,0.09,0.0,0.0,0.25,2.7,1.0,0.02,0.0,0.0,1.0,?,1.0,1.0,5.0,2.0,5.0,0.0,11.02.03.01@11.02.03.04@18.02.09@34.11.03.07@41.01.01,1
A,20.0,0.1,0.37,0.1,0.1,0.63,0.0,0.0,0.16,0.09,0.0,0.0,0.25,2.5,1.0,0.02,0.0,0.0,1.0,?,1.0,1.0,5.0,2.0,5.0,0.0,11.02.03.01@11.02.03.04@18.02.09@34.11.03.07@41.01.01,2
C,21.0,0.4,1.74,0.3,0.2,0.48,0.0,0.0,0.65,0.13,0.0,0.0,0.41,1.2,1.0,0.17,0.0,0.0,1.0,?,1.0,1.0,5.0,?,5.0,0.0,16.01@34.11.03.07@41.01.01,3
B,21.0,0.44,1.09,0.48,0.69,0.38,0.14,0.15,0.68,0.16,0.9,0.0,0.23,1.7,1.0,0.17,0.88,0.0,?,?,?,?,?,?,?,0.0,01.03.04.03@16.19,4
B,20.0,1.03,1.98,2.78,1.45,0.35,0.33,0.04,1.81,0.19,1.7,1.0,0.22,1.6,1.0,0.3,0.13,0.0,?,?,?,?,?,?,?,0.0,12.01.01,5
B,21.0,4.86,9.72,0.89,5.39,0.32,-0.73,0.03,5.22,0.14,5.2,1.0,0.29,1.1,1.0,0.16,0.19,0.0,?,?,?,?,?,?,?,0.0,11.04.01@11.04.03.01.10@12.01.01@12.07,6
C,21.0,0.97,2.84,0.88,1.24,0.32,-0.14,-0.1,1.48,0.28,0.5,0.0,0.26,1.2,1.0,0.25,0.4,0.0,?,?,?,?,?,?,?,0.0,12.01.01@16.03.03,7
B,20.0,0.21,0.48,0.3,0.44,0.31,0.0,0.25,0.36,0.17,0.0,0.0,0.17,1.8,1.0,0.08,3.13,1.0,?,?,?,?,5.0,2.0,2.0,0.0,11.04.01@12.01.01@16.03.01@16.03.03@32.01,8
B,20.0,2.34,4.11,5.06,1.76,0.28,0.24,-0.25,3.32,0.18,1.3,1.0,0.22,1.3,1.0,0.28,0.89,0.0,?,?,?,?,?,?,?,0.0,12.01.01,9
C,20.0,0.65,1.53,0.63,1.57,0.28,0.0,0.23,1.1,0.15,0.0,0.0,0.2,1.4,1.0,0.2,1.15,1.0,?,?,?,?,5.0,?,?,0.0,01.06.06.11,10
B,20.0,0.19,0.54,0.56,0.6,0.26,0.42,0.39,0.47,0.3,1.4,1.0,0.3,0.9,0.0,0.33,1.18,1.0,?,?,?,?,?,?,?,0.0,14.13.01,11
B,20.0,4.77,8.84,5.2,3.77,0.26,0.11,-0.09,5.65,0.13,0.8,0.0,0.13,2.0,1.0,0.23,0.39,0.0,?,?,?,?,?,?,?,0.0,12.01.01@16.03.03,12
C,21.0,0.77,1.74,1.09,1.29,0.25,0.14,0.06,1.22,0.21,0.7,0.0,0.29,0.9,0.0,0.22,0.27,0.0,?,?,?,?,?,?,?,0.0,01.05.25@16.03.01@30.01@32.01.09@40.10.02.01@42.10.03,13
C,20.0,1.16,2.37,0.72,2.02,0.24,-0.23,0.17,1.57,0.16,1.4,1.0,0.24,1.0,1.0,0.17,1.0,0.0,?,?,?,?,?,2.0,?,0.0,11.04.01@20.01.21@20.09.01@42.10,14
D,20.0,0.48,0.86,0.68,0.6,0.23,0.14,-0.04,0.66,0.17,0.8,0.0,0.14,1.6,1.0,0.17,0.24,0.0,?,?,?,?,?,?,?,0.0,14.04@20.09.07.03,15
B,52.0,2.22,5.11,5.37,2.57,0.22,0.14,0.01,3.82,0.25,0.6,0.0,0.18,1.2,1.0,0.15,0.07,0.0,?,?,?,?,?,?,?,0.0,12.01.01,16
C,20.0,0.4,1.25,1.27,0.4,0.22,0.24,0.0,0.82,0.32,0.8,0.0,0.24,0.9,0.0,0.17,0.0,0.0,1.0,?,?,?,2.0,2.0,5.0,0.0,01.05.02.04@01.20.01.01@16.21.07,17
B,50.0,1.82,3.53,1.68,1.83,0.21,0.03,0.07,2.22,0.22,0.1,0.0,0.18,1.2,1.0,0.15,0.47,0.0,?,?,?,?,?,?,?,0.0,12.01.01,18
D,21.0,0.54,0.64,0.51,1.2,0.21,0.01,0.43,0.72,0.09,0.1,0.0,0.23,0.9,0.0,0.11,3.91,1.0,?,?,?,?,?,?,?,0.0,10.03.01@10.03.05.01@16.01@42.04.05,19
D,20.0,0.1,0.21,0.16,0.11,0.21,0.1,-0.02,0.15,0.23,0.4,0.0,0.21,1.0,1.0,0.33,0.06,0.0,1.0,?,?,?,2.0,2.0,?,0.0,01.03.16.01@10.03.01@11.04.01,20
D,20.0,0.42,0.76,0.87,0.66,0.21,0.22,0.11,0.68,0.19,1.2,1.0,0.2,1.1,1.0,0.11,1.0,0.0,?,?,?,?,?,?,2.0,0.0,11.04.01@11.06.01,21
A,26.0,1.45,3.12,2.91,2.15,0.2,0.23,0.01,2.41,0.08,2.9,1.0,0.07,2.9,1.0,0.11,0.09,0.0,?,?,?,?,?,?,?,0.0,12.01.01,22
B,26.0,8.69,15.9,13.1,7.97,0.2,0.05,-0.14,11.42,0.12,0.4,0.0,0.15,1.3,1.0,0.2,0.7,0.0,?,?,?,?,?,?,?,0.0,12.01.01,23
C,20.0,1.04,1.8,0.83,1.68,0.19,-0.18,0.14,1.34,0.11,1.6,0.0,0.11,1.7,0.0,0.1,1.4,0.0,?,?,?,?,?,?,?,0.0,12.04.02@42.01,24
B,21.0,1.89,1.66,1.81,2.69,0.18,0.14,0.29,2.01,0.18,0.8,0.0,0.16,1.1,0.0,0.24,1.21,1.0,?,?,?,?,?,?,?,0.0,01.05@42.01,25
C,21.0,1.14,2.89,1.57,3.83,0.18,-0.03,0.3,2.36,0.2,0.2,0.0,0.15,1.2,0.0,0.22,1.36,1.0,?,?,?,?,?,?,?,0.0,14.10@16.01@20.09.18@40.01@42.04.03@43.01.03.05,26
C,20.0,4.08,7.94,3.51,3.94,0.18,-0.24,-0.1,4.87,0.1,2.4,1.0,0.13,1.4,0.0,0.13,0.77,0.0,?,?,?,?,?,?,?,0.0,12.01.01@14.13.01,27
D,20.0,7.0,11.3,9.27,5.75,0.18,0.15,-0.08,8.32,0.15,1.0,0.0,0.06,3.0,0.0,0.09,0.89,0.0,?,?,?,?,?,?,?,0.0,12.01.01,28
