chip_affymetrix_chip=B,chip_affymetrix_chip=A,chip_affymetrix_chip=C,chip_affymetrix_chip=D,chip_affymetrix_chip=A-D,pp_number_of_probe_pairs,a_fy4_a,alpha_fy5_alpha,gal_gal,heat_heat,rel_alpha_fy5_alpha,rel_gal_gal,rel_heat_heat,avg_abund,median_deviation_of_log_fc_gal,sig_gal,sig_and_fc_gal,median_deviation_of_log_fc_fy5_alpha,sig_fy5_alpha,sig_and_fc_fy5_alpha,median_deviation_of_log_fc_heat,sig_heat,sig_and_fc_heat,thrshld_gal,thrshld_fy5_alpha,thrshld_heat,below_threshold_in_all_conditions,classification
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,-0.018473,-0.277189,1.74509,-0.291277,-0.282933,12.551268,-0.038235,-0.126172,0.26997,-1.219953,-0.398314,-0.244582,0.804229,3.255698,4.455987,0.198643,-0.41839,-0.262428,0.405014,-4.267496,0.514708,-0.786808,30.05@34.11.03.07
-0.583935,1.726609,-0.573686,-0.571226,-0.028273,-0.075472,-0.277189,-0.00583,-0.291277,-0.282933,6.951377,-0.038235,-0.126172,-0.22527,-0.519705,-0.398314,-0.244582,0.154885,2.607035,4.455987,-1.458232,-0.41839,-0.262428,0.405014,-4.267496,0.514708,-0.786808,11.02.03.01@11.02.03.04@18.02.09@34.11.03.07@41.01.01
-0.583935,1.726609,-0.573686,-0.571226,-0.028273,-0.075472,-0.277189,-0.083403,-0.291277,-0.282933,6.544112,-0.038235,-0.126172,-0.244317,-0.519705,-0.398314,-0.244582,0.154885,2.390814,4.455987,-1.458232,-0.41839,-0.262428,0.405014,-4.267496,0.514708,-0.786808,11.02.03.01@11.02.03.04@18.02.09@34.11.03.07@41.01.01
-0.583935,-0.579016,1.742649,-0.571226,-0.028273,-0.018473,-0.103719,0.675699,-0.15602,-0.222809,5.016869,-0.038235,-0.126172,0.066795,-0.119563,-0.398314,-0.244582,1.020676,0.985376,4.455987,0.095088,-0.41839,-0.262428,0.405014,0.0,0.514708,-0.786808,16.01@34.11.03.07@41.01.01
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,-0.018473,-0.080589,0.315541,-0.03429,0.071802,3.998706,1.267825,1.307195,0.085842,0.180543,0.845542,-0.244582,0.046662,1.525929,4.455987,0.095088,0.5724,-0.262428,0.0,0.0,-0.0,-0.786808,01.03.04.03@16.19
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,-0.075472,0.260569,0.80868,1.521159,0.528749,3.693258,3.040335,0.256059,0.803305,0.48065,1.951192,4.087519,-0.00745,1.417818,4.455987,1.441299,-0.272023,-0.262428,0.0,0.0,-0.0,-0.786808,12.01.01
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,-0.018473,2.475208,5.097326,0.242986,2.89766,3.387809,-6.848406,0.160502,2.96839,-0.019528,6.788408,4.087519,0.371333,0.877265,4.455987,-0.008466,-0.20447,-0.262428,0.0,0.0,-0.0,-0.786808,11.04.01@11.04.03.01.10@12.01.01@12.07
-0.583935,-0.579016,1.742649,-0.571226,-0.028273,-0.018473,0.225875,1.285196,0.236223,0.402488,3.387809,-1.344295,-1.08175,0.59378,1.380969,0.292717,-0.244582,0.208997,0.985376,4.455987,0.923526,0.031969,-0.262428,0.0,0.0,-0.0,-0.786808,12.01.01@16.03.03
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,-0.075472,-0.213583,-0.022453,-0.15602,-0.078509,3.285993,-0.038235,2.262773,-0.117333,0.280579,-0.398314,-0.244582,-0.27801,1.634039,4.455987,-0.836904,3.105669,3.809549,0.405014,-4.267496,-3.453974,-0.786808,11.04.01@12.01.01@16.03.01@16.03.03@32.01
1.712062,-0.579016,-0.573686,-0.571226,-0.028273,-0.075472,1.018056,1.988889,3.063083,0.715136,2.980544,2.200725,-2.515117,1.762037,0.380614,1.398367,4.087519,-0.00745,1.093486,4.455987,1.23419,0.583659,-0.262428,0.0,0.0,-0.0,-0.786808,12.01.01
