g1,g1_bkg,r1,r1_bkg,g2,g2_bkg,r2,r2_bkg,f2,g3,g3_bkg,r3,r3_bkg,f3,g4,g4_bkg,r4,r4_bkg,f4,g5,g5_bkg,r5,r5_bkg,f5,g6,g6_bkg,r6,r6_bkg,g7,g7_bkg,r7,r7_bkg,f7,g1_ratio,g2_ratio,g3_ratio,g4_ratio,g5_ratio,g6_ratio,g7_ratio,r1_ratio,r2_ratio,r3_ratio,r4_ratio,r5_ratio,r6_ratio,r7_ratio,g1dashbkg,g2dashbkg,g3dashbkg,g4dashbkg,g5dashbkg,g6dashbkg,g7dashbkg,r1dashbkg,r2dashbkg,r3dashbkg,r4dashbkg,r5dashbkg,r6dashbkg,r7dashbkg,classification
-0.65407,0.611273,-0.719178,-0.280587,-0.550414,0.211573,-0.494012,1.243244,-0.059171,-0.68428,0.677653,-0.665624,0.617222,-0.108052,-0.607962,0.388574,-0.557453,0.530343,-0.051875,-0.566549,0.296561,-0.634102,-0.696283,-0.067701,-0.515515,2.075224,-0.04918,3.357918,-0.557049,0.218033,2.47676,0.473212,-0.101507,2.493265,0.558343,0.325183,-0.107584,0.051288,-1.060693,-1.297471,-2.101042,-0.642516,-0.484396,-0.110646,-0.268846,1.372486,10.407235,-0.706963,-0.571566,-0.780849,-0.65461,-0.603258,-0.62746,-0.598591,-0.716295,-0.599847,-0.756136,-0.617694,-0.580635,-0.317758,2.518609,01.05.06.07@01.07.01@02.16.13@02.45@42.01
-0.605331,1.177404,-0.709684,0.67081,-0.662458,0.36517,-0.767457,-0.136281,-0.059171,-0.660399,1.158595,-0.699455,0.720565,-0.108052,-0.620416,0.834308,-0.629669,0.606058,-0.051875,-0.619701,0.216461,-0.71667,-0.561979,-0.067701,-0.564554,1.173918,-0.591331,0.391498,-0.627768,0.437355,-0.655531,0.068059,-0.101507,5.244375,4.741401,1.860013,3.019476,1.949228,-0.5374,-0.56706,-3.15325,-2.474091,-1.404488,-1.568879,-1.119886,0.068965,0.088209,-0.697153,-0.696386,-0.805912,-0.700253,-0.650964,-0.630425,-0.69518,-0.736217,-0.764174,-0.802078,-0.698249,-0.6789,-0.628589,-0.694069,20.01.01.07@20.03
-0.505062,0.49618,-0.581034,0.08485,0.116744,1.085159,0.953989,2.26883,-0.059171,-0.372051,0.250149,-0.441056,0.358863,-0.108052,-0.255241,0.819548,-0.179183,0.908918,-0.051875,-0.46099,0.401308,-0.550291,-0.59999,-0.067701,-0.221958,2.168006,-0.061391,3.763054,-0.224296,0.308623,-0.134412,0.453919,-0.101507,1.165144,-2.529153,0.836793,-0.628761,0.112512,-0.151816,-0.329914,-1.296413,4.505694,-0.852433,0.375432,-0.300366,-0.26831,-0.157917,-0.547599,0.034631,-0.412291,-0.323157,-0.504039,-0.335955,-0.264756,-0.588362,0.779634,-0.495801,-0.254974,-0.50432,-0.362437,-0.204819,11.02.01@11.02.02@11.02.03.01
2.278846,0.720144,2.509095,0.658208,2.614272,1.606751,2.443163,2.427684,-0.059171,4.525558,1.044085,3.46377,0.978923,-0.108052,4.185331,0.68081,2.538135,0.675949,-0.051875,2.421623,0.693983,0.878979,-0.308576,-0.067701,3.358355,2.843986,1.096174,4.384492,5.013148,0.623303,0.75359,0.48527,-0.101507,-1.016771,-0.138834,0.464713,1.351711,2.132899,2.437107,3.407512,1.303159,-0.048492,-0.594807,-1.00802,-1.182926,-0.851704,-0.805135,2.263397,2.514595,4.591329,4.259375,2.416958,3.242856,5.109137,2.508979,2.271001,3.497442,2.576247,0.93316,0.757267,0.717837,12.04.02
3.904188,1.867961,3.777193,1.370181,4.50273,1.094759,4.343846,1.700299,-0.059171,4.407932,0.873593,3.630846,0.708164,-0.108052,5.306186,1.30956,5.412134,1.302055,-0.051875,2.943703,0.068583,2.626335,-0.708953,-0.067701,3.597449,2.203351,4.62151,4.260891,5.875179,0.475499,7.119902,0.514209,-0.101507,-0.68474,-0.288229,0.185653,-0.55927,-0.377279,-0.193129,-0.320428,0.746108,0.100014,-0.373985,0.30065,0.077873,-0.240963,-0.167032,3.833273,4.459232,4.486857,5.367189,3.001868,3.517254,6.015077,3.765259,4.249923,3.699325,5.504045,2.766764,4.328257,7.36041,01.04@14.01@14.04@16.01@16.19.03@20.09.01@20.09.05@32.01.07
-0.298513,-0.732512,-0.272389,-0.778338,-0.055575,-0.726012,0.194073,0.145198,-0.059171,-0.28923,-0.475081,-0.279168,-0.323202,-0.108052,-0.431496,-1.06375,-0.412808,-0.608296,-0.051875,-0.300293,-0.381212,-0.29239,0.008178,-0.067701,0.031374,0.546538,0.34373,1.840374,-0.393278,-0.389873,-0.327698,0.150055,-0.101507,-0.35271,-1.234397,-0.186427,0.135632,-0.040547,-0.358379,-0.254027,0.250951,1.337565,-0.042752,-0.297599,-0.205806,-0.113346,-0.212611,-0.251762,-0.000436,-0.251097,-0.365974,-0.275404,0.003451,-0.364163,-0.250463,0.184262,-0.256388,-0.380925,-0.300898,0.200293,-0.363448,10.03.02@42.10@43.01.03.09
-0.637108,-0.437004,-0.589171,-0.060065,-0.623571,-0.24922,-0.653335,-0.31743,-0.059171,-0.734836,-0.391107,-0.719795,-0.157853,-0.108052,-0.68353,-0.308069,-0.630958,-0.188951,-0.051875,-0.598589,-0.162476,-0.437133,0.598607,-0.067701,-0.670316,-0.527078,-0.593502,-0.26084,-0.649852,-0.344578,-0.61287,-0.233393,-0.101507,-0.068112,0.657939,1.069343,-0.211819,-0.805846,-0.785276,-0.538603,-0.120416,-0.74152,-0.999647,-0.035865,0.487633,0.470048,0.051746,-0.616272,-0.610066,-0.722544,-0.681126,-0.598182,-0.649357,-0.633947,-0.592073,-0.634204,-0.731548,-0.638834,-0.508914,-0.578702,-0.606703,10.01.05.01@32.01
-0.478653,0.931666,-0.530465,1.521396,-0.360596,1.133158,-0.42263,0.897666,-0.059171,-0.069475,2.176462,0.088609,1.665123,-0.108052,-0.492077,1.2151,-0.428498,0.929303,-0.051875,-0.426963,0.697064,-0.347601,0.195696,-0.067701,-0.379471,2.755622,-0.336808,1.654973,-0.476156,0.470731,-0.526892,0.207933,-0.101507,0.927979,0.508544,-1.302667,-0.976212,-0.958905,-0.509859,-0.187626,-1.110729,-0.642516,1.503003,0.786728,0.676753,0.041618,-0.25819,-0.551305,-0.45067,-0.297793,-0.596144,-0.493635,-0.525274,-0.542226,-0.581917,-0.499715,-0.081681,-0.514664,-0.376447,-0.472351,-0.579637,20.01.17
0.449746,0.098021,0.528382,-0.060065,0.467944,1.225957,1.050433,1.786693,-0.059171,0.66194,0.736181,0.910502,0.77637,-0.108052,0.758806,0.970094,1.929463,1.0487,-0.051875,0.08692,0.48449,0.670819,-0.470754,-0.067701,0.446512,1.827807,3.353236,3.570786,1.032274,0.351533,3.165897,0.422568,-0.101507,-0.874472,-1.831976,-0.977097,-2.05331,-1.877263,-1.074464,-0.813693,1.055581,2.525613,0.950948,3.030163,2.441872,1.44541,0.553112,0.449788,0.378192,0.611069,0.709891,0.048898,0.356314,1.028053,0.534517,0.916158,0.865189,1.917565,0.735864,3.102202,3.24529,01.04@11.04.01@16.19.03@20.01.01.01@20.01.10@20.01.13@20.03.22@20.09.07.06
1.687754,-0.763618,1.737386,-0.841345,1.142879,-0.354818,1.368407,0.591105,-0.059171,1.552391,-0.391107,1.208958,-0.120649,-0.108052,0.699492,-1.072605,0.234766,-0.75099,-0.051875,1.892838,0.170249,1.263219,0.950837,-0.067701,2.233391,0.939755,1.351783,2.135643,1.225573,0.15605,0.389988,1.044766,-0.101507,-0.732173,-0.786212,0.232163,1.351711,0.571691,0.798374,0.969648,0.808002,0.694038,-0.410788,-1.00802,-0.584046,-0.632931,-0.62282,1.76721,1.180324,1.652632,0.79922,1.919848,2.205708,1.248645,1.777516,1.334319,1.268956,0.300455,1.200646,1.195006,0.258736,12.04.01
