Heat_Shock_05_minutes_hs_1,Heat_Shock_10_minutes_hs_1,Heat_Shock_15_minutes_hs_1,Heat_Shock_20_minutes_hs_1,Heat_Shock_30_minutes_hs_1,Heat_Shock_40_minutes_hs_1,Heat_Shock_60_minutes_hs_1,Heat_Shock_80_minutes_hs_1,Heat_Shock_000_minutes_hs_2,Heat_Shock_000_minutes__hs_2,Heat_Shock_000_minutes__hs_2.1,Heat_Shock_005_minutes__hs_2,Heat_Shock_015_minutes__hs_2,Heat_Shock_030inutes__hs_2,Heat_Shock_060_minutes__hs_2,37C_to_25C_shock___15_min,37C_to_25C_shock___30_min,37C_to_25C_shock___45_min,37C_to_25C_shock___60_min,37C_to_25C_shock___90_min,heat_shock_17_to_37_20_minutes,heat_shock_21_to_37_20_minutes,heat_shock_25_to_37_20_minutes,heat_shock_29_to_37_20_minutes,heat_shock_33_to_37_20_minutes,29C_to_33C___5_minutes,29C_to_33C___15_minutes,29C_to_33C___30_minutes,33C_vs_30C___90_minutes,29C_Plus1M_sorbitol_to_33C_Plus_1M_sorbitol___5_minutes,29C_Plus1M_sorbitol_to_33C_Plus_1M_sorbitol___15_minutes,29C_Plus1M_sorbitol_to_33C_Plus_1M_sorbitol___30_minutes,29C_Plus1M_sorbitol_to_33C_Plus_NO_sorbitol___5_minutes,29C_Plus1M_sorbitol_to_33C_Plus_NO_sorbitol___15_minutes,29C_Plus1M_sorbitol_to_33C_Plus_NO_sorbitol___30_minutes,constant_0point32_mM_H2O2_10_min_redo,constant_0point32_mM_H2O2_20_min_redo,constant_0point32_mM_H2O2_30_min_redo,constant_0point32_mM_H2O2_40_min_rescan,constant_0point32_mM_H2O2_50_min_redo,constant_0point32_mM_H2O2_60_min_redo,constant_0point32_mM_H2O2_80_min_redo,constant_0point32_mM_H2O2_100_min_redo,constant_0point32_mM_H2O2_120_min_redo,constant_0point32_mM_H2O2_160_min_redo,1_mM_Menadione_10_minredo,1_mM_Menadione_20_min_redo,1_mM_Menadione_30_min_redo,1mM_Menadione_40_min_redo,1_mM_Menadione_50_minredo,1_mM_Menadione_80_min_redo,1_mM_Menadione_105_min_redo,1_mM_Menadione_120_minredo,1_mM_Menadione_160_min_redo,2point5mM_DTT_005_min_dtt_1,2point5mM_DTT_015_min_dtt_1,2point5mM_DTT_030_min_dtt_1,2point5mM_DTT_045_min_dtt_1,2point5mM_DTT_060_min_dtt_1,2point5mM_DTT_090_min_dtt_1,2point5mM_DTT_120_min_dtt_1,2point5mM_DTT_180_min_dtt_1,dtt_000_min__dtt_2,dtt_015_min_dtt_2,dtt_030_min__dtt_2,dtt_060_min_dtt_2,dtt_120_min_dtt_2,dtt_240_min_dtt_2,dtt_480_min_dtt_2,1point5_mM_diamide_5_min,1point5_mM_diamide_10_min,1point5_mM_diamide_20_min,1point5_mM_diamide_30_min,1point5_mM_diamide_40_min,1point5_mM_diamide_50_min,1point5_mM_diamide_60_min,1point5_mM_diamide_90_min,1M_sorbitol___5_min,1M_sorbitol___15_min,1M_sorbitol___30_min,1M_sorbitol___45_min_,1M_sorbitol___60_min,1M_sorbitol___90_min,1M_sorbitol___120_min,Hypo_osmotic_shock___5_min,Hypo_osmotic_shock___15_min,Hypo_osmotic_shock___30_min,Hypo_osmotic_shock___45_min,Hypo_osmotic_shock___60_min,steady_state_1M_sorbitol,aa_starv_0point5_h,aa_starv_1_h,aa_starv_2_h,aa_starv_4_h,aa_starv_6_h,Nitrogen_Depletion_30_minpoint,Nitrogen_Depletion_1_h,Nitrogen_Depletion_2_h,Nitrogen_Depletion_4_h,Nitrogen_Depletion_8_h,Nitrogen_Depletion_12_h,Nitrogen_Depletion_1_d,Nitrogen_Depletion_2_d,Nitrogen_Depletion_3_d,Nitrogen_Depletion_5_d,Diauxic_Shift_Timecourse___0_h,diauxic_shift_timecourse_9point5_h,diauxic_shift_timecourse11point5_,diauxic_shift_timecourse_13point5_h,diauxic_shift_timecourse_15point5_h,diauxic_shift_timecourse_18point5_h,diauxic_shift_timecourse_20point5_h,YPD_2_h_ypd_2,YPD_4_h_ypd_2,YPD_6_h_ypd_2,YPD_8_h_ypd_2,YPD_10_h__ypd_2,YPD_12_h_ypd_2,YPD_1_d_ypd_2,YPD_2_d_ypd_2,YPD_3_d_ypd_2,YPD_5_d_ypd_2,YPD_stationary_phase_2_h_ypd_1,YPD_stationary_phase_4_h_ypd_1,YPD_stationary_phase_8_h_ypd_1,YPD_stationary_phase_12_h_ypd_1,YPD_stationary_phase_1_d_ypd_1,YPD_stationary_phase_2_d_ypd_1,YPD_stationary_phase_3_d_ypd_1,YPD_stationary_phase_5_d_ypd_1,YPD_stationary_phase_7_d_ypd_1,YPD_stationary_phase_13_d_ypd_1,YPD_stationary_phase_22_d_ypd_1,YPD_stationary_phase_28_d_ypd_1,DBY7286_37degree_heat___20_min,DBYmsn2_4__37degree_heat___20_min,DBYmsn2/4_real_strain_Plus_37degrees_20_min,DBYyap1__37degree_heat___20_min_redo,DBYyap1_Plus_37degree_heat_repeat,DBY7286_Plus_0point3_mM_H2O2_20_min,DBYmsn2msn4_good_strain_Plus_0point32_mM_H2O2,DBYmsn2/4_real_strain_Plus_0point32_mM_H2O2_20_min,DBYyap1__Plus_0point3_mM_H2O2_20_min,DBYyap1_Plus_0point32_mM_H2O2_20_min,Msn2_overexpression_repeat,Msn4_overexpression,YAP1_overexpression,ethanol_vs_reference_pool_car_1,galactose_vs_reference_pool_car_1,glucose_vs_reference_pool_car_1,mannose_vs_reference_pool__car_1,raffinose_vs_reference_pool_car_1,sucrose_vs_reference_pool_car_1,YP_ethanol_vs_reference_pool_car_2,YP_fructose_vs_reference_pool_car_2,YP_galactose_vs_reference_pool_car_2,YP_glucose_vs_reference_pool_car_2,YP_mannose_vs_reference_pool_car_2,YP_raffinose_vs_reference_pool_car_2,YP_sucrose_vs_reference_pool_car_2,17_deg_growth_ct_1,21_deg_growth_ct_1,25_deg_growth_ct_1,29_deg_growth_ct_1,37_deg_growth_ct_1,steady_state_15_dec_C_ct_2,steady_state_17_dec_C_ct_2,steady_state_21_dec_C_ct_2,steady_state_25_dec_C_ct_2,steady_state_29_dec_C_ct_2,steady_state_33_dec_C_ct_2,steady_state_36_dec_C_ct_2,steady_state_36_dec_C_ct_2_repeat_hyb,classification
2.230785,0.238195,0.532849,0.548306,0.472226,0.34637,1.487869,-0.0,-0.900181,-0.440594,-1.029221,-0.193335,0.506864,0.578603,0.393477,0.464871,-2.250466,0.02286,-0.147046,0.443069,0.431315,0.694923,0.540135,0.478562,0.609207,1.176043,0.358097,1.405314,-0.979039,0.39401,1.033725,0.891417,1.137456,-0.254818,-0.869617,0.899291,1.180599,0.482103,-0.030453,0.553549,0.423689,-0.318402,-0.130066,0.467461,-1.003283,-0.167775,0.541612,-0.968089,-0.513557,-0.355056,2.233412,0.466101,0.899852,-0.788603,-0.351929,0.126464,0.230514,1.477746,-0.0,0.124805,0.102058,-0.576082,-0.352327,-0.628285,-0.81836,0.010291,-0.402145,0.192341,-0.011722,0.031029,0.090132,0.097256,0.13582,-0.233441,0.027272,-0.741132,-0.54822,0.569962,0.056166,0.133019,0.232872,0.287494,0.205256,0.624921,-1.784564,0.423489,0.116808,0.310636,2.129027,2.390809,0.16248,0.684816,0.326595,-0.494116,-0.340434,0.309146,0.366038,0.184747,0.034772,0.293063,0.103233,-0.015631,0.049541,0.025442,-0.014255,-0.649928,1.952674,0.00928,1.193582,0.436006,0.356579,0.370311,0.87803,0.647952,0.807891,0.533153,0.38732,0.698809,0.720455,1.011189,1.156306,1.340046,-0.088329,0.661782,0.657677,0.16629,0.355813,0.41834,0.371603,0.964359,0.77613,0.882518,0.955141,0.812024,0.18956,0.762228,1.03282,-0.568491,-1.053896,-0.317313,-0.399425,0.800053,0.45074,0.768659,3.664479,0.670608,0.699527,-0.933252,0.741018,0.450851,0.476137,1.382439,0.800144,0.438287,0.459297,0.924616,0.246603,0.330903,-1.0642,-0.005976,0.155566,0.596296,0.541293,-0.723152,-2.086477,-1.108022,-0.374009,-1.344052,0.770129,0.40639,-0.379925,-0.736436,-0.690564,11.02.01@11.02.02@11.02.03.01
0.353444,0.229361,-0.093665,-0.113705,-0.868273,-0.6376,-0.215216,-0.757222,0.98732,1.158952,0.386961,0.841524,1.074919,-0.210678,-0.342169,0.9332,1.219047,1.293543,0.0,2.382537,-0.183015,0.048267,-0.189266,-0.62443,0.190478,0.562781,0.203232,0.395767,0.585601,0.858629,0.777603,0.551034,1.402591,1.01962,1.00935,0.413559,0.0,-1.390794,-2.229891,-0.0,0.0,-1.106879,-1.458304,0.092033,-1.280543,-1.192864,-1.307635,-2.288836,0.0,-0.0,0.0,-0.880063,-0.0,-1.485266,1.452446,0.305577,1.162548,-0.316639,-0.099361,-1.124532,-1.79559,-3.11894,1.743678,1.710843,2.142499,0.626756,-1.209185,-1.358004,0.148147,0.89915,0.337806,-0.013593,-0.682144,-0.861418,-0.78288,-0.668268,-0.33723,0.240035,-1.938493,-2.181707,-1.804201,-0.746874,-1.986207,-1.631428,1.825409,1.298968,1.457981,2.255859,2.359692,1.063803,-2.015819,-1.337216,-0.193916,0.005879,-0.388664,-1.677669,-1.484374,-1.230534,-0.484463,-1.069696,-0.808988,-0.930902,-0.762627,-0.612583,-0.652397,1.200077,0.052495,-0.555017,-1.274353,-1.759476,-1.927786,-2.232071,1.284696,-0.40912,-1.676773,-1.571894,-1.409545,-0.984369,-0.540378,-1.055395,-1.666632,-0.717475,0.324415,0.634278,-1.215503,-1.756021,-1.299974,-1.457701,-1.25292,-0.830776,-0.978152,-0.876975,-1.221425,-1.743109,-0.237674,0.762228,-0.082396,-0.555188,-0.811567,-0.546983,-0.491193,0.166297,-0.783876,-2.068736,-0.155534,-1.048721,1.665222,-1.428215,0.336856,1.173826,0.879496,-0.714822,0.590969,-1.039883,1.556613,-0.501119,0.854626,0.163335,-0.640325,0.660604,1.677316,1.390534,1.684003,2.003334,-1.381835,1.101871,1.16785,1.081425,1.898607,2.078716,0.619975,-0.809677,-2.03207,12.04.02
4.026502,3.24204,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-1.514003,-0.663482,-0.864229,0.048866,1.867553,1.367884,-0.089948,0.636211,-0.085281,-0.983097,-0.904274,-2.669464,0.0,0.048267,0.0,0.0,0.005744,1.776257,1.968695,1.209918,1.468865,1.787868,2.028084,0.976513,1.667726,2.75581,1.656549,0.704998,0.355655,0.892146,1.188664,-0.0,0.0,-1.43753,-1.530753,-0.417476,-1.234333,-0.078637,0.419492,-1.255944,-0.867442,-0.0,0.0,-0.809212,0.012604,-1.943597,1.272009,-0.092453,0.765938,0.159422,0.003632,0.058173,0.088971,-1.718525,0.597425,1.047508,1.098743,1.562869,-0.420913,0.623741,-1.637053,1.78953,1.521139,1.693472,0.986503,1.081756,1.116787,1.66338,2.110263,1.319793,0.329407,0.24068,0.715337,-0.478704,-1.694012,0.021109,1.306166,0.467263,0.843277,1.828338,2.282804,0.951886,-1.301922,-0.283481,-0.825965,0.199425,0.013253,-0.864413,-0.77505,-1.952049,-1.69043,-0.821921,-0.754797,-1.206293,-1.51737,-1.419722,-0.783101,0.727735,0.271746,-0.304218,0.492464,0.263328,-0.06952,0.10147,1.578399,1.628145,0.452132,-0.713786,0.04951,-0.592594,0.243978,0.069277,-0.027695,0.161417,0.393206,0.991832,0.735727,-0.238746,0.003518,-0.089584,0.048203,-0.574328,-0.116509,-0.072832,0.076877,-0.417027,0.0,2.728372,1.069993,-0.0,1.540451,-1.569016,0.492037,0.958492,-6.525344,-0.469052,0.66304,0.916226,1.698522,0.325369,1.26306,1.509493,0.963529,0.208743,1.143788,-0.035301,0.961459,0.612126,0.724335,0.783336,-0.799278,0.382862,0.57605,-0.787947,-0.245907,0.277393,-0.912074,1.726406,-0.193792,0.419931,0.74326,1.28507,1.506251,0.630743,1.098112,01.04@14.01@14.04@16.01@16.19.03@20.09.01@20.09.05@32.01.07
0.462276,0.335379,0.230914,0.007395,0.054408,-0.068557,-0.305806,-0.0,0.035897,-0.571704,-0.053018,0.423177,-0.047979,0.235437,-0.279114,-0.620281,0.045151,0.433185,-1.576009,-0.698714,-0.080627,0.084192,-0.371616,0.238394,0.091953,-1.329198,-0.168444,-1.248818,1.847407,-0.05274,-0.066095,0.785048,-0.171649,-1.122913,-0.911371,0.996437,0.491405,-0.736943,-0.093294,0.490015,-0.339554,-0.318402,0.063133,1.781457,-1.003283,0.188778,-0.854046,-0.781829,-0.816887,-0.454024,-1.505133,-0.508096,-0.543806,-0.586937,-0.647191,-0.0,-0.463554,-0.261709,-0.545661,-0.37493,-0.382169,-1.829084,0.2208,0.942771,0.438407,-0.537678,-0.008009,0.408041,0.094857,0.186845,0.475403,0.851025,0.386662,0.264201,0.306635,0.30811,0.169148,-0.209864,-0.05313,-0.45912,-0.356807,-0.057296,0.095683,0.148228,-0.820256,-0.714634,-1.1126,1.229807,0.258081,-1.446318,0.107565,0.143709,-0.361223,-0.413472,0.575938,-0.133512,-0.024604,-0.245387,-0.032226,0.142629,0.256776,0.535151,0.24643,0.325236,0.877607,0.294755,1.368004,0.071979,-0.236699,-0.106697,0.155365,-0.006066,-0.703447,-0.601315,0.15849,-0.076908,0.171697,-0.280626,0.163343,-0.746111,-0.284326,0.064891,-0.67305,-0.438385,-1.215503,-0.116592,-0.225474,-0.237045,-0.29024,-0.089157,0.187236,0.442645,0.191434,0.23631,-0.775163,1.131804,-0.695765,0.203063,-0.013306,0.463566,0.177404,-0.237002,0.019127,-0.398993,0.268912,0.582185,-0.832266,0.155667,0.101095,-0.762715,0.45933,-0.041389,-0.051496,-0.695455,0.198917,0.026208,0.217649,1.017931,0.083795,-0.246685,0.295727,-0.90141,-1.185469,-1.573616,-0.95478,-1.948742,0.066522,-0.119063,-0.627035,-0.812423,-0.561725,0.215707,-0.616035,10.03.02@42.10@43.01.03.09
-0.190712,0.803625,0.676267,0.354547,0.38518,0.927268,1.451633,0.956888,-0.86949,-0.466816,-0.602991,-1.206175,-0.047979,0.681553,0.603661,-0.79162,-1.102657,-0.440409,-0.293606,-1.074095,-0.060149,0.156043,0.255668,0.309555,0.325949,-0.011337,0.373584,0.493465,-0.247191,0.57271,0.747471,1.253075,1.170598,1.0935,1.552162,0.732754,0.428751,1.257859,0.899595,0.505898,0.591231,-1.208618,-0.613061,-1.141515,-1.280543,0.099639,0.489275,-0.002927,-0.041711,0.555453,0.422295,0.483814,-0.423501,0.733056,-0.0,-0.0,0.190853,0.379143,0.690248,0.757802,-0.054988,-0.600651,-0.188576,-0.1046,-1.159179,0.809412,0.817799,0.273228,0.654398,-0.280604,0.681798,0.828855,0.953784,1.069907,1.270437,1.022177,0.654427,0.060076,0.179125,-0.279684,-0.061967,-0.402085,-0.59828,-2.171681,-0.053755,-0.145573,-0.218485,-0.159637,-0.177619,0.488234,0.34553,-0.041407,-0.900324,-0.01025,-0.469048,0.350324,0.56136,-0.051133,-0.300219,-0.122844,-0.1045,-0.145227,-0.024293,0.156121,0.054941,-0.020139,-0.678343,-1.056613,0.099838,0.756695,0.901039,0.45634,0.493957,-0.159267,0.598953,0.365554,-0.094239,-0.636125,-0.437752,-0.366534,-0.115183,0.273183,-0.810632,-0.685923,-0.216474,0.327018,0.258932,0.147994,0.010598,0.784152,0.267822,0.61447,0.312354,0.003437,-0.04473,0.451784,0.326516,0.13655,0.029458,1.198511,0.832891,0.656018,0.792017,0.500099,-0.094899,0.366041,-0.09967,-0.438289,-1.700791,-0.427048,0.123197,-0.503172,-0.873253,0.007752,-0.433434,-1.282343,-0.346944,-0.322612,-0.004512,0.105121,0.075474,-0.470252,-0.245907,-0.548057,0.34774,-0.051116,1.067729,-0.46206,0.152152,-3.845285,-0.1754,0.752812,-1.907857,10.01.05.01@32.01
-0.054673,0.070334,0.230914,0.176934,-0.023933,-0.044847,-0.015919,-0.121653,0.066588,0.280513,0.029478,0.929597,0.63897,1.161985,0.498569,-2.847698,-3.033063,-0.135975,1.208637,1.272035,-0.264926,0.292559,0.175434,-0.348682,0.264371,0.888984,1.039504,1.340182,0.964143,-0.05274,0.642008,1.210527,1.220311,0.151525,1.176369,0.954803,-0.051596,0.637254,-0.872523,0.553549,0.0,-0.52188,0.570278,0.172482,-0.610499,-0.502043,0.611395,-2.000981,0.312174,-0.038357,-0.22572,0.483814,0.99008,-0.0,-0.253509,0.405085,-0.185927,-1.158902,-0.751646,-0.341614,-0.683175,-0.662073,0.58105,0.820578,0.694021,0.832244,0.34859,0.030566,1.666899,0.298143,0.035093,0.197019,0.233976,0.370839,0.334571,0.162382,-0.062942,-0.209864,-0.230737,0.007413,0.474105,0.172564,0.314829,-0.519143,0.885827,1.21142,0.042298,0.011371,0.334969,0.0,2.011288,0.143709,-0.733017,-0.816693,-0.629815,-0.133512,0.191277,-0.300888,-0.450964,-0.025504,-0.203851,0.032967,-0.212978,0.002381,-0.214155,-1.082908,-0.60526,1.51407,0.969224,0.929373,0.380251,-0.081342,0.109884,0.686391,0.299664,0.29181,0.114197,-0.273371,-0.357117,-0.535235,-0.272661,0.649125,-0.948213,0.139203,-0.232083,0.08914,-0.172629,-0.351738,-0.275198,0.070257,-0.903766,-0.354626,0.59238,0.359215,-0.223893,0.14134,-0.621417,0.083339,-0.170108,0.957357,0.046306,-0.942776,-0.161549,-0.469052,0.268912,0.208845,0.483078,0.975891,0.690498,0.476671,0.341683,-0.099112,1.143788,-0.193164,0.180319,-0.520649,0.376893,0.515228,-0.304757,0.271765,0.536004,-0.175249,-0.372875,-0.122825,-0.250138,0.453316,0.446981,1.081425,1.038814,0.321357,0.5518,0.313362,1.07327,20.01.17
-0.462791,-0.221216,-0.078568,0.31418,-0.145797,0.654602,-0.124626,-0.0,-0.86949,-0.715926,-1.345455,-2.28507,2.567713,1.453675,0.771809,0.750438,1.101657,0.353767,0.243782,0.27102,-0.497006,0.048267,-0.371616,-0.268626,-0.117411,0.210481,0.605881,1.584427,0.181823,-0.30292,0.687207,0.699952,-0.436784,0.502457,-0.034521,0.607851,-0.009827,0.393445,-0.093294,-0.288279,-0.469864,0.063118,-1.410004,0.628358,0.475435,0.701322,0.035686,-0.002927,0.076251,-0.058151,0.272753,0.094135,0.553976,-0.275272,-0.0,-0.012847,-0.185927,0.0,-0.0,0.0,0.324541,0.0,0.728426,-1.239251,-0.008917,3.298104,-0.0,0.030566,-2.196594,0.342662,0.200209,0.197019,-0.071398,-0.268987,-0.056537,-0.289375,-0.421626,0.599955,0.165463,-0.082305,-0.490825,0.134254,-0.525231,0.052889,1.949038,0.839341,1.17857,1.635953,2.821021,1.335599,0.382141,0.0,0.400953,-0.123152,-1.53011,0.072376,0.026796,-0.273138,-0.300219,-0.618392,-0.519967,-0.517815,-0.573942,-0.627957,-0.575513,1.003268,2.24501,1.012473,2.707997,2.360136,1.717729,1.069298,2.685433,0.263562,2.07281,0.868352,0.027947,1.141369,1.277568,1.390766,1.523755,1.5839,0.186834,0.304228,0.688897,0.147002,0.02994,0.287263,0.386645,0.777221,0.336009,1.054343,0.59238,0.566214,0.161997,-0.213453,0.233582,0.362695,-0.141598,1.221478,-0.202779,0.252718,0.380478,-0.422346,0.299229,0.05165,0.632927,-0.395863,0.0,1.780608,-0.582682,0.112538,-1.11231,-0.551944,0.55229,-0.969853,0.188696,0.481714,-2.459456,0.086604,-0.204849,0.255908,0.541293,-1.04833,-1.958361,-1.996783,4.371713,-4.014526,-5.409636,-1.634414,-0.03905,0.0,-0.0,01.04@11.04.01@16.19.03@20.01.01.01@20.01.10@20.01.13@20.03.22@20.09.07.06
0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,1.079393,-1.646809,0.043227,1.347944,0.018073,0.183962,0.414495,0.247841,-0.098325,-0.493354,-0.45238,-0.08872,0.0,-0.0,-1.14478,0.0,-0.0,0.928129,-0.369769,1.616993,-0.625733,0.32253,0.657074,-0.746678,0.143199,-0.217877,0.591802,1.26012,0.418309,1.235695,0.0,-0.304163,0.665693,-0.52188,-0.395713,-1.195147,-0.910863,0.211062,-0.330674,-0.59557,0.194212,0.139786,0.3226,-0.171555,1.125423,0.439724,-0.0,-0.0,0.0,0.0,-1.575586,-0.957954,0.0,0.0,-0.352327,0.087418,1.183948,0.307107,-0.477218,0.421522,0.281371,0.142326,0.035093,0.008577,-0.213178,-0.091258,-0.154314,-0.201938,-0.273932,-1.049676,-0.544964,-0.6565,-0.330003,-0.708564,-0.415658,0.0,-1.141692,-0.6052,0.154063,0.075499,0.437487,0.104521,-0.066333,0.058271,0.549671,0.828451,0.447324,-0.514404,-0.045164,-0.342514,-0.115974,-0.069749,0.112265,-0.582613,-0.475497,-0.343536,0.085695,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,1.600991,-1.062582,0.243195,-0.26462,-0.043927,0.292525,-0.57703,-0.001015,-0.325153,0.0,-1.876888,-1.483543,-0.55989,-0.463765,-0.454465,-0.14693,-0.365449,0.056395,0.875312,0.971867,0.522373,0.786149,0.0,0.48135,-0.212505,-0.0,-0.113089,-4.106873,0.242952,-0.150581,0.0,-0.352287,-0.607266,-0.227373,0.0,-1.272655,-1.27979,-0.401227,-0.431423,-0.445449,-0.54455,0.337829,0.887065,-0.344874,0.651952,0.247119,-0.905247,-0.357782,-0.204849,-0.084479,-0.728385,-2.324025,-0.997485,-1.828639,1.207898,-0.46206,0.474575,0.746524,-2.129751,-3.495207,-0.268237,10.03.01@10.03.04.05
-0.054673,-0.221216,-0.554114,-0.824155,-0.511387,-0.68502,-0.468867,-1.046117,0.956629,0.437845,0.111974,-0.149298,-1.421878,-1.789241,0.855883,1.515755,1.936427,2.008302,2.039145,1.756902,-1.008947,-0.627129,-1.319836,-0.802331,-1.041079,-0.050481,-0.710473,0.200371,0.257531,0.17957,0.114697,0.7425,0.822608,-0.217877,0.758821,-0.16932,-0.281328,0.0,0.01982,-0.574183,-0.134781,-0.725358,0.014833,-0.60519,-1.580908,-4.268132,-0.644698,-0.798762,-0.816887,-0.671755,-1.056508,-0.950913,-0.724263,-1.228601,1.485253,0.922524,0.746107,-0.49974,-0.116526,-0.691428,-0.290558,-1.288574,1.055926,0.48891,-0.26453,-0.857327,-1.096574,-1.182748,0.467884,-1.771991,-1.175759,-0.789531,-1.085673,-0.67184,-0.950498,-0.755705,-1.075697,-1.169649,-1.596942,-0.889767,-0.705254,-1.053353,-0.817427,-1.345412,0.416036,1.145759,1.383471,1.016047,0.950075,1.495479,-0.670399,-0.397398,-0.286865,-0.655405,-0.774505,-1.677669,-0.83673,-1.119531,-0.936701,-1.963453,-1.802497,-2.121563,-1.993185,-1.796388,-1.936371,0.727735,0.783333,-0.335568,-1.274353,-0.6494,-1.016407,-1.124445,0.109884,-0.293803,-1.676773,-1.263511,-0.892048,-1.289082,-2.072437,-1.54041,-1.159203,-0.814001,-0.294701,-0.768435,-1.153064,-1.884604,-1.91649,-1.637932,-1.704176,-1.32981,-1.009147,-1.323721,-1.195968,-1.089771,-0.292801,-0.568246,0.066299,-0.701518,-0.070325,-0.857038,0.164294,-0.323423,-1.085002,0.278245,-0.185852,-0.518185,-0.532568,-1.216088,5.5e-05,0.347569,0.442523,-0.195317,-0.066437,-1.054234,0.068727,-1.51671,0.608521,0.012524,0.348717,-0.246685,0.015405,0.323986,0.465112,-0.22288,-1.18966,-0.075137,-0.71442,0.248433,0.098415,0.15129,-0.31175,-0.809677,-0.417294,12.04.01
0.190197,0.662268,0.457365,0.217301,0.263317,0.619036,-0.360159,-1.161675,0.066588,-1.083035,-0.328005,-1.250212,-0.074401,0.681553,-0.552354,0.841819,-2.74611,-0.824261,0.426982,0.380506,0.042239,0.005157,0.24108,0.265079,-0.117411,0.262674,0.497476,-0.434667,0.358476,0.23318,0.59681,0.52976,1.518588,1.481373,0.800576,-0.09993,-0.260443,-0.315818,-0.508045,-0.764786,0.051376,0.749856,0.014833,0.333379,0.752695,-1.059157,-0.644698,-0.477041,-0.210227,0.139786,-0.10941,-0.260119,-0.318234,-0.256939,-0.105878,-0.888513,-0.642028,-0.261709,-0.305346,-0.341614,-0.683175,-0.514661,-0.106701,-0.156968,-0.43494,0.603924,0.780262,0.583297,-0.704486,0.587517,1.067069,1.316588,0.801097,1.413517,0.907265,1.095041,0.021455,-0.419817,-0.503978,-0.638557,-0.3032,-1.244903,-1.438341,-1.059396,0.68802,0.861228,0.079553,-0.30927,-0.485171,-0.550988,-0.048028,-0.482836,-1.067631,-0.477987,-0.694121,-0.761469,-0.343286,-0.689397,-0.819454,-0.503354,-0.583191,-0.874203,-0.836461,-0.551087,-0.713905,-0.413757,-0.312924,-0.241519,-0.489101,0.8307,-0.247061,-0.285661,-1.290853,-0.985704,0.34484,-0.009869,0.38732,-0.150035,-0.635673,-0.521176,-0.126848,1.461973,-1.017004,-1.098485,-0.684769,0.08914,-0.551347,-0.14693,-0.267677,-0.012916,0.150043,-0.354626,0.006871,0.119874,-0.334147,-0.39085,-0.584243,-0.102898,0.143495,1.634885,0.37405,-0.150581,-0.553013,1.142308,-0.82252,-0.223443,-0.898866,0.636488,0.151616,-0.853087,-0.582682,0.035574,-1.067487,0.72531,-1.40056,0.006677,-1.635374,-1.730182,-0.534356,-1.098426,0.515981,0.051676,-0.017365,0.027257,-0.591783,0.64548,0.967608,-0.46206,-0.707641,-0.500634,-1.561626,-1.273542,0.178932,01.07.04@01.20.19.01@14.07@14.10
