DES460_Plus_0point02_MMS___5_min,DES460_Plus_0point02_MMS___15_min,DES460_Plus_0point02_MMS___30_min,DES460_Plus_0point2_MMS___45_min,DES460_Plus_0point02_MMS___60_min,DES460_Plus_0point02_MMS___90_min,DES460_Plus_0point02_MMS___120_min,DES459_mec1__Plus_0point02_MMS___5_min,DES459_mec1__Plus_0point02_MMS___15_min,DES459_mec1__Plus_0point02_MMS___30_min,DES459_mec1__Plus_0point02_MMS___45_min,DES459_mec1__Plus_0point02_MMS___60_min,DES459_mec1__Plus_0point02_MMS___90_min,DES459_mec1__Plus_0point02_MMS___120_min,dun1__Plus_0point02_MMs___30_min,dun1__Plus_0point02_MMS___90_min,dun1__Plus_0point02_MMS___120_min,wt_plus_gamma_5_min,wt_plus_gamma_10_min,wt_plus_gamma_20_min,wt_plus_gamma_30_min,wt_plus_gamma_45_min,wt_plus_gamma_60_min,wt_plus_gamma_90_min,wt_plus_gamma_120_min,DES460_wt___mock_irradiation___5_min,DES460_wt___mock_irradiation___30_min,DES460_wt___mock_irradiation___60_min,DES460_wt___mock_irradiation___90_min,mec1_plus_gamma_5_min,mec1_plus_gamma_10_min,mec1_plus_gamma_20_min,mec1_plus_gamma_30_min,mec1_plus_gamma_45_min,mec1_plus_gamma_60_min,mec1_plus_gamma_90_min,mec1_plus_gamma_120_min,DES459_mec1___mock_irradiation___5_min,DES459_mec1___mock_irradiation___30_min,DES459_mec1___mock_irradiation___60_min,DES460_wild_type_Plus_heat_20_min,DES459_mec1_Plus_heat_20_min,MHY1_dun1_Plus_heat_20_min,DES460_vs_DES460_YPD_log_phase_control,DES459_mec1___log_phase_IR_time_=_0_sample,DES459_mec1___log_phase_MMS_time_=_0_sample,DES460wt_vs_DES459mec1_genomic_DNA_comparison,DES460wt_vs_DES459mec1_genomic_DNA_comparison_#2,DES460_genomic_DNA_vs_MHY26_dun1_genomic_DNA,MHY1_crt1_vs_CRY1_wild_type,MHY1_crt1_vs_CRY1_wild_type___log_phase,pRS_ROX1_GAL_media,classification,id
0.626011,0.453632,0.851684,1.312594,0.897932,1.297432,1.367604,0.390229,0.162296,0.133036,0.886852,0.442274,0.684501,1.002514,0.902469,1.39131,1.271389,1.339198,1.08225,0.929696,0.670606,-0.678224,-0.938936,-0.871032,-0.19952,1.273426,-0.408545,-0.454761,-0.86974,0.83718,0.540707,0.570357,0.058575,-0.790216,-0.47358,-0.582781,0.441957,-0.347745,-0.770431,-1.181763,1.257856,1.274625,1.062437,-0.825418,-0.537937,-0.054955,-0.229775,1.135234,0.152914,-0.681918,-0.157856,-1.588706,01.04@01.05@32.01,0
-0,1.130299,1.177649,0.47056,0.700278,0.336672,0.209036,-0.703633,-0.465905,-0.163519,-0.518458,-0.204512,0.104901,0.032091,-0.450703,-0.663607,-0.770174,1.442345,2.185709,1.30974,1.542184,0.381729,0.998018,0.266306,0.158597,1.227365,0.920803,1.111329,1.343797,0.763828,0.269278,0.328942,0.29054,-1.050383,-0,-0.917397,-1.504925,1.038354,1.943999,1.349831,0.128647,-0.140732,-0.277499,0.582037,1.121232,-0.038664,0.5345,-0.337049,0.018442,2.187931,1.05401,0.02681,16.19.03@20.01.01.01@20.01.13@20.01.27@20.03.22@20.03.25@32.01.01@32.05.01.03@32.07@34.01.01.01,1
-0.936276,-0.703891,-0.049751,-0.50812,-0.434401,-0.086944,-0.284672,-0.878651,-1.20323,-1.037299,-1.230538,-1.41304,-1.622533,-0.69106,-0.945277,-1.207618,-1.022139,0.263526,-0.529969,0.782946,0.791543,0.123204,2.196987,1.33922,1.530605,0.14858,1.014848,1.072708,-0,0.320304,0.422196,1.536017,0.313507,2.892537,1.476561,1.674355,1.617131,0.987975,2.320002,0.417139,-0.303011,0.47225,0,-0.716067,-0.762347,1.506043,-0.39151,-0.890129,1.226519,-0,0.665436,2.301974,01.05.06.07@01.07.01@02.16.13@02.45@42.01,2
-4.449111,0.436281,0.533767,0.378232,0.919894,0.760287,1.147082,-2.955531,-1.911062,-0.269432,-1.523747,-1.659221,-1.258863,-1.204264,-1.068292,-0.531855,-3.804521,0.926611,1.137251,0.782946,0.416223,-0.006059,1.142721,1.430901,2.204981,0.878275,1.0606,2.225551,1.94335,0.217952,0.020787,0.074821,-0.903734,-0.340607,-0.512845,-0.242081,1.264899,1.280717,1.866738,1.939497,0.047433,1.25426,0.451644,-1.213439,-0.756829,-0.915429,-0.036328,0.387407,1.252546,2.421495,-1.277435,1.657261,01.05@01.06.10@01.07@43.01.03.06,3
-0.32153,0.225597,-0.51053,0,0.171371,-0.208945,-0.157953,-0.333178,-0.227012,-0.918147,-0.76978,-0.51112,-0.508792,-0.791368,-0.762008,-0.553105,-0.535437,-1.652055,-0.342622,1.646512,-0.872378,-0.652371,-0.198883,-0.910678,-0.027438,0.151004,1.91972,1.308297,1.356446,0.786004,0.225314,0.943068,1.039258,0.169624,0.578711,-0.321172,0.019279,0.260885,1.212597,1.551111,1.023114,0.820489,0.700586,0.642004,1.251831,-0,1.333659,-2.490945,-0.701632,0.677223,-0.806289,-0.329151,01.04@01.06.02.01@30.01.09.11@42.04.03@43.01.03.05@43.01.03.09,4
-0.714413,0.267734,2.358771,1.000525,1.064474,1.590573,1.494323,0.889031,1.336117,1.324554,1.701555,1.639611,1.457301,1.315102,0.701627,0.626294,0.711466,0.922191,1.395069,1.706717,1.500482,1.271486,1.564427,0.179581,1.170162,1.084336,0.015931,-0,0.511507,0.913944,1.119883,1.027775,1.259739,0.071114,0.3248,0.049947,1.28091,-0.560154,-0.286263,-0.816057,0.495779,0.597494,0.191819,-0.465618,0.249341,0.321225,-0.990879,0.177081,-0.807908,-1.335399,-1.051576,1.1395,10.01.03@10.03.01@14.13@40.20@42.16,5
0.080598,-0.924489,-0.780155,-1.678843,-1.70634,-1.334068,-1.08777,-1.03325,-1.338898,-0.918147,-1.098594,-1.061672,-0.820185,-1.124951,-1.141098,0.080158,-1.265489,-0.436398,-0.423405,-0.541565,-0.317737,-0.029757,0.255898,0.521526,1.070168,0.873427,1.937512,1.723475,1.055405,-0.435394,0.353383,0.337412,0.272167,0.674803,0.261976,0.062115,-0.60193,1.030184,2.216988,2.21732,-0.298561,-0.326052,-0.538685,0.373917,0.135296,0.21311,-0.489819,0.352353,-0.580174,2.901045,0.053432,-0.321683,01.03.16.01@11.04@14.04@16.03.03@20.01.10@40.20,6
-0.714413,-0.408933,0.075001,-0.183124,-0.150731,0.146892,-0.115165,0.760684,0.808192,0.39517,0.342321,0.149094,0.841334,0.624609,-0.184588,0.16516,0.151544,0.387302,0.090512,-0.300745,-0.409482,-0.059918,0.415072,0.060644,0.251615,-0.544751,-0.761852,0.165109,0.073859,0.400479,0.215757,-0.340244,-0.030995,0.593974,0.377152,0.96862,-0.496261,-0.912806,-0.559252,0.006074,-0.382,-0.17637,-0.40129,0.409192,-0.972043,-0.188247,-0.740349,-0.126723,-0.888157,-0.818578,-0.502715,1.473058,01.06.02.02@14.04@40.10@40.20,7
-0,-0.339532,-1.128254,-0.683544,-0.600943,-0.298752,0.317652,-0,-2.515668,-0.092028,-1.217972,-1.569701,-0.813366,0.125401,-4.055816,0,0,-1.040543,-0.791224,-0.686433,-0.238503,-0.236577,0.016105,1.480458,0.579501,-0.910811,0.394655,0.008693,-1.099948,-2.339136,-2.594107,-3.006398,-2.578014,-2.419417,-1.824282,-1.796524,-1.58818,1.050608,0.254562,-0.688485,-0.018206,0.105683,-0.055764,-0.539694,-0.911342,-0.367451,0.039782,0.695107,0.65393,-0.567621,-0.767431,-0.729919,10.03.01@32.01@40.10@42.16,8
0.935696,0.210725,0.765162,0.577661,0.401967,0.212976,0.816297,0.433984,0.60469,0.715556,0.660662,0.151332,0.654953,0.37034,-0.106762,0.343663,0.375513,0.484554,-0.291058,0.404783,0.441244,0.319252,0.417139,-0.172275,1.472469,0.805548,0.753046,1.273538,0.777132,0.908826,0.684068,0.386119,0.432934,0.876874,0.932092,0.451486,0.534819,0.966189,0.66662,0.995465,0.27105,0.828635,0.919601,0.59262,0.144493,0.027982,-0.683266,0.056338,0.63441,1.039991,0.347291,1.151946,40.10@40.20@42.01,9
