t0_green,t0_green_bkg,t0_red,t0_red_bkg,t0_flag,t0Point5_green,t0Point5_green_bkg,t0Point5_red,t0Point5_red_bkg,t0Point5_flag,t2_green,t2_green_bkg,t2_red,t2_red_bkg,t2_flag,t5_green,t5_green_bkg,t5_red,t5_red_bkg,t5_flag,t7_green,t7_green_bkg,t7_red,t7_red_bkg,t7_flag,t9_green,t9_green_bkg,t9_red,t9_red_bkg,t9_flag,t11Point5_green,t11Point5_green_bkg,t11Point5_red,t11Point5_red_bkg,t11Point5_flag,gal_ndt80_green,gal_ndt80_green_bkg,gal_ndt80_red,gal_ndt80_red_bkg,ndt80_delete_early_green,ndt80_delete_early_green_bkg,ndt80_delete_early_red,ndt80_delete_early_red_bkg,ndt80_delete_early_flag,ndt80_delete_mid_green,ndt80_delete_mid_green_green_bkg,ndt80_delete_mid_green_red,ndt80_delete_mid_green_red_bkg,ndt80_delete_mid_green_flag,t0_correlation,t0Point5_correlation,t2_correlation,t5_correlation,t7_correlation,t9_correlation,t11Point5_correlation,ndt80_delete_early_correlation,ndt80_delete_mid_correlation,t0_regression,t0Point5_regression,t2_regression,t5_regression,t7_regression,t9_regression,t11Point5_regression,ndt80_delete_early_regression,ndt80_delete_mid_regression,t0_g/r_ratio,t0Point5_g/r_ratio,t2_g/r_ratio,t5_g/r_ratio,t7_g/r_ratio,t9_g/r_ratio,t11Point5_g/r_ratio,ndt80_delete_early_g/r_ratio,ndt80_delete_mid_g/r_ratio,failed_pcr,overlaps_another_orf=yes,classification,id
-0.735436,-0.826948,-0.585245,-0.664966,-0.077298,-0.821484,-0.9372,-1.054478,-0.505112,-0.109644,-0.668985,0.766459,-0.73297,0.769553,-0.131356,-0.653874,0.146977,-0.73921,0.449732,-0.175538,-0.656907,-0.287921,-0.65837,-0.203488,-0.149812,-0.546552,-1.639862,-0.284893,-1.323501,-0.059347,-0.298971,-0.279645,0.069088,-0.233497,-0.079046,-0.656796,-0.17568,-0.089527,0.844869,-0.141765,0.091398,-0.705191,0.025575,-0.125017,-0.399361,0.327566,-0.561115,0.78886,-0.121633,0.192273,-0.483272,-1.658771,-1.568272,-0.659233,0.100714,-1.087238,0.204944,0.447949,-1.112523,1.407622,0.032427,-0.27861,-0.309347,-0.669281,-0.648036,0.909742,-0.029247,-1.857179,1.142164,0.18359,0.177908,-0.231383,-0.715395,-0.74493,-1.102504,0.828407,0,-0.310659,12.01@42.01,0
0.378587,-0.626959,0.828923,0.000127,-0.077298,0.330025,-0.733446,1.0429,-0.293129,-0.109644,0.059196,0.708041,0.478515,0.535434,-0.131356,0.19423,0.910136,-0.121262,0.896658,-0.175538,-0.150057,-0.385807,0.030733,-0.269652,-0.149812,0.564369,-1.314293,1.07099,-1.336657,-0.059347,0.282592,-0.451133,0.47977,-0.426757,-0.079046,-0.815884,-0.139861,0.509939,0.710499,1.513749,0.013007,1.533629,0.142713,-0.125017,1.509145,0.59165,-0.493914,0.341516,-0.121633,0.612911,0.319276,0.435649,-0.029386,0.477095,0.225935,-0.734836,0.420189,0.440441,-0.701428,-0.425229,-0.562853,0.3009,-0.420376,-0.478839,-0.469003,-0.242712,1.560468,-1.64359,-0.497681,-0.646549,0.279793,-0.464852,-0.556911,-0.550465,-1.583103,-0.298645,0,-0.310659,01.05@02.16,1
1.403864,-0.456001,2.165911,-0.337931,-0.077298,0.245396,1.915347,7.687486,6.229413,-0.109644,0.28217,1.344142,9.280588,1.425087,-0.131356,1.074795,1.131128,5.426991,1.82489,-0.175538,-0.082756,-0.325988,0.221836,-0.199911,-0.149812,0.948334,-1.411964,1.750235,-1.634857,-0.059347,0.532388,-0.388773,2.321416,-0.203588,-0.079046,-0.528757,-0.040079,-0.565248,0.332903,0.206971,-0.642118,3.385149,-0.241238,-0.125017,0.843147,0.074046,-0.699973,-0.41054,-0.121633,0.771512,0.632466,0.729603,0.559259,0.548755,0.4546,0.46483,0.486989,0.222721,-0.814366,-0.986239,-1.295988,-0.876845,-0.464309,-0.450556,-0.824016,-0.663026,1.759581,-1.803782,-1.019107,-1.451532,-0.961346,-0.532634,-0.603524,-0.920875,0.470367,-0.711526,0,-0.310659,01.01.03.02.01@01.01.03.02.02@01.02@02.10@42.01,2
-0.857797,-0.797918,-0.779061,-0.547381,-0.077298,-0.798264,-0.576993,-0.880469,-0.59072,-0.109644,-0.65449,0.909257,-0.682491,0.839789,-0.131356,-0.544871,0.317877,-0.591362,0.541409,-0.175538,-0.750013,-1.4408,-0.709107,-1.083293,5.689715,-0.765694,-1.777325,-0.723925,-1.494527,-0.059347,-0.733647,-0.783715,-0.595951,-0.539493,-0.079046,-0.679014,-0.022169,-0.507889,0.142404,-1.001404,-0.222166,-0.896798,0.006052,-0.125017,-0.831465,-0.364332,-0.90269,-0.397574,-0.121633,0.019881,-3.184531,-1.024933,0.12198,-0.034764,-0.884725,-0.779824,0.360811,0.04254,-0.516209,-0.473269,-0.56536,-0.090368,-0.445138,-0.635341,-0.56564,-0.438101,-0.288572,-0.68244,-0.165178,-0.218902,-0.201843,-0.314227,-0.239943,-0.33748,-0.654672,-0.438132,-1.643239,-0.310659,11.02.01@11.02.02@11.02.03.01,3
0.946355,-0.662441,1.506242,-0.187275,-0.077298,2.195843,-0.238617,-0.062785,-0.354278,-0.109644,1.248247,1.188362,0.098937,0.558846,-0.131356,1.75034,0.918976,0.292179,0.995975,-0.175538,0.931991,-0.621458,-0.416883,-0.546827,-0.149812,0.971303,-1.292588,0.160006,-1.319116,-0.059347,2.061682,-0.557663,0.470966,-0.410652,-0.079046,1.058273,0.348816,1.139487,0.599942,2.454472,-0.020589,-0.223109,-0.104578,-0.125017,1.685889,-0.047432,-0.578565,-0.079895,-0.121633,0.743929,0.622679,0.490765,0.668579,0.405435,-0.008175,0.652278,0.331122,0.523024,-0.778226,2.052499,1.525015,1.646191,2.542269,0.455458,0.61638,1.746961,2.232036,-1.64359,1.769386,1.453953,1.409785,1.97528,0.552477,0.597804,-0.184996,1.654169,0,-0.310659,12.04.02,4
1.844901,-0.194725,3.643415,0.371256,-0.077298,1.895821,-0.005756,2.186852,0.11453,-0.109644,2.512332,1.318178,0.760601,1.284616,-0.131356,3.180361,0.892456,1.252301,0.789702,-0.175538,1.528459,-0.587017,-0.173982,-0.342969,-0.149812,1.588068,-1.231092,-0.027079,-1.143705,-0.059347,3.097365,-0.040601,0.041011,-0.37154,-0.079046,2.28725,0.277178,3.502852,0.406041,0.778096,0.186587,1.15736,0.071129,-0.125017,0.16349,-0.131939,0.486257,0.172952,-0.121633,0.937009,0.436722,0.711231,0.567668,0.405435,0.008159,0.449834,0.353389,0.620623,-1.433267,-0.148388,1.550079,1.089349,1.677199,1.548144,2.638631,-0.35631,-0.258625,-2.658137,-0.270975,1.41622,0.946673,1.636373,1.838994,2.727659,-0.600059,-0.393496,0,3.218089,01.04@14.01@14.04@16.01@16.19.03@20.09.01@20.09.05@32.01.07,5
-0.677281,-0.601154,-0.587321,-0.448168,-0.077298,-0.038128,0.350812,0.140629,0.620027,-0.109644,-0.321095,1.155908,-0.262826,1.0583,-0.131356,-0.050428,-0.062229,0.084574,0.170881,-0.175538,-0.380554,-0.829919,-0.302151,-0.702402,-0.149812,-0.494094,-1.187682,-0.485342,-1.117393,-0.059347,-0.379444,-0.560261,-0.246657,-0.396848,-0.079046,-0.61179,-0.904859,0.644713,-0.2505,-0.886471,-1.095667,-0.781997,-0.852957,-0.125017,-0.549064,-0.422431,-0.605297,-0.65042,-0.121633,0.640494,0.65204,0.251928,0.55085,0.38496,0.340268,0.442337,0.486989,0.508009,-0.001211,-0.299836,-0.358578,-0.309162,-0.365261,-0.233716,-0.421194,-0.304623,-0.203192,-1.002824,-0.338987,-0.394992,-0.359301,-0.404602,-0.249265,-0.485644,-1.364649,-0.348861,-1.643239,-0.310659,10.03.02@42.10@43.01.03.09,6
-0.360285,0.027843,-0.35751,-0.010897,-0.077298,-0.304236,-0.689785,-0.351593,-0.639639,-0.109644,-0.301484,-0.187692,-0.485031,-0.362024,-0.131356,0.102654,0.868884,-0.402348,0.751503,-0.175538,-0.32232,-0.083086,-0.66438,-0.230311,-0.149812,-0.298542,1.044279,-0.432215,1.759355,-0.059347,-0.54787,-0.076977,-0.599996,-0.182881,-0.079046,-0.394736,0.039235,-0.555421,-0.415485,0.084559,0.348969,-0.479266,-0.006963,-0.125017,0.197779,-0.126657,-0.307533,0.036804,-0.121633,0.743929,0.436722,-0.271677,0.407893,-0.99706,-2.980823,-1.949499,0.464723,0.56807,0.409883,-0.168744,0.204119,1.33771,0.784971,-0.199775,0.751671,0.441717,0.12845,-0.148468,-0.195406,0.309368,1.039295,1.169434,1.046574,1.699772,0.426676,0.331834,0,-0.310659,10.01.05.01@32.01,7
-0.78754,-0.356006,-0.775946,-0.286488,-0.077298,-0.812318,-0.591547,-0.627913,-0.586643,-0.109644,-0.776848,-1.284641,-0.693873,-0.853675,-0.131356,-0.652507,-0.183038,-0.697157,-0.310425,-0.175538,-0.68062,-0.304235,-0.546466,-0.307205,-0.149812,-0.460881,0.523367,-0.312271,2.224195,-0.059347,-0.708517,-0.24067,-0.559547,-0.284113,-0.079046,-0.233939,1.771353,0.543231,0.528505,-0.668019,0.197786,-0.651263,0.103667,-0.125017,-0.774315,-0.168911,-0.858879,-0.332741,-0.121633,-0.842082,0.319276,-0.923887,0.02107,-0.393066,-0.095285,-0.045028,0.294011,0.065062,0.884224,-0.670315,-0.743317,-0.452069,-0.665599,-0.462812,-0.732466,-0.207497,-0.216891,1.346654,-0.618592,-0.583659,-0.414874,-0.638071,-0.407749,-0.680109,-1.058813,-0.24843,0,-0.310659,20.01.17,8
-0.555929,-1.110804,-0.336744,-0.764179,-0.077298,0.33583,-0.526055,0.474147,-0.199368,9.117929,-0.376093,1.402559,-0.395456,1.2534,-0.131356,-0.298846,0.123405,0.116445,0.350415,-0.175538,-0.55212,-0.79004,-0.194136,-0.43238,-0.149812,-0.588766,-1.433668,-0.129097,-1.371739,-0.059347,-0.435386,-0.581048,0.280615,-0.254204,-0.079046,0.368514,0.609785,1.083933,0.67308,-0.324793,-0.406945,-0.241494,-0.117593,-0.125017,-0.367023,-0.142502,-0.157908,0.380416,-0.121633,0.55085,0.084384,0.490765,0.323801,0.282588,0.481822,0.764747,0.264322,0.575577,-0.958927,-0.247725,-0.289651,-0.636368,-0.667995,-0.822012,-0.869792,-0.256344,-0.29112,-1.750384,-0.278531,-0.231479,-0.692741,-0.69079,-0.939137,-0.939395,-0.698363,-0.309804,0,-0.310659,01.04@11.04.01@16.19.03@20.01.01.01@20.01.10@20.01.13@20.03.22@20.09.07.06,9
